ESPÉCIE,AUTOR,NOME_VULGAR,LINK,SINONIMIA_BOTANICA,FAMILIA,FORMA_BIOLOGICA,FLORESTA_OMBROFILA_DENSA,FLORESTA_OMBROFILA_ABERTA,FLORESTA_OMBROFILA_MISTA,FLORESTA_ESTACIONAL_SEMIDECIDUAL,FLORESTA_ESTACIONAL_DECIDUAL,SISTEMA_EDAFICO_PRIMEIRA_OCUPACAO,VEGETACAO_INFLUENCIA_MARINHA,VEGETACAO_INFLUENCIA_FLUVIOMARINHA,VEGETACAO_INFLUENCIA_FLUVIAL,CAMPOS_RUPESTRES,SASV,AREAS_ANTROPIZADAS,OBSERVACAO_SOLO,TEXTURA_CASCALHO,TEXTURA_ARENOSO,TEXTURA_MEDIO,TEXTURA_ARGILOSO,FERTILIDADE_ALTA,FERTILIDADE_BAIXA,BEM_DRENADO,MAL_DRENADO,MODERADAMENTE_DRENADO,SUJEITO_ALAGAMENTO,RASO_CASCALHO,RASO_ROCHA,PROFUNDO,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PE,PI,PB,PR,RJ,RN,RO,RR,RS,SE,SC,SP,TO,TOL_SOMBRA,ESTRATEGIA_OCUPACAO,PERSISTENCIA_FOLHAGEM,PERIODO_FLORACAO,PERIODO_FRUTIFICACAO,PERIODO_COLETA_SEMENTE,ANIMAL_ATRAIDO,ATRATIVO,TIPO_INTERACAO,ESTRATEGIA_DISPERSAO,COLETA_PROCESSAMENTO,SEMENTE_P_KG,PESO_FRESCO,CONDICOES_ARMAZENAMENTO,PRAZO_ARMAZENAMENTO,TOL_DESSECACAO,TOL_FRIO,TIPO_DORMENCIA,TRAT_GERMINACAO,PADRONIZACAO,LENTO,RAPIDO,MUITO_RAPIDO,ALTURA_MEDIA,TEMPO_MEDIO_PLANTIO,DESENVOL_MUDA_CAMPO,FBN,USO_ALIMENTACAO,USO_ARTESANATO,USO_AROMATICO,USO_CORT,USO_COND,USO_COSMETICO,USO_FORRAGEM,USO_FIBRAS,USO_LATEX,USO_MADEIRA,USO_MEDICINAL,USO_MELIFERA,USO_OLEO,USO_ORNAMENTAL,USO_RESINA,USO_RAD,USO_TANINO,USO_TINTURA,USO_TOXICO,REFERENCIA,REFERENCIA1,REFERENCIA2,REFERENCIA3,REFERENCIA4,AMEACADO
Albizia polycephala,(Benth.) Killip ex Record,Monjolo-alho; Angico; Angico-branco; Farinha-seca; Camunzé,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232395/1/Especies-Arboreas-Brasileiras-vol-2-Farinha-Seca.pdf,Pithecolobium polycephalum Benth.,Fabaceae,Árvore,1,0,1,1,0,0,0,0,0,0,0,0,"Ocorre em diversos tipos de solos. Contudo, não tolera solos mal drenados e nem hidromórficos.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,não,diversidade,semicaducifólia,novembro -dezembro,maio - junho,maio - junho,-,-,-,anemocórica,Deixar os frutos secarem ao sol para completarem a abertura e liberação das sementes.,"25,6",39,Após a secagem armazenar a 5 ºC,6 meses,Sim,Sim,-,escarificação mecânica manual,ruim,0,1,1,30-40,5 - 6,lento,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Paulo Ernani,"SANQUETTAet al., 2010","CARVALHO, 2006",QUEBRA DE DORMÊNCIA DE SEMENTES DE Albizia polycephala (Benth.) Killip1,DD
Alchornea glandulosa,Poepp. & Endl.,Tanheiro; Fruta-de-pombo; Tapiá,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232402/1/Especies-Arboreas-Brasileiras-vol-2-Tapia-Acu.pdf,Alchornea glandulosa var. genuina Müll.Arg.,Euphorbiaceae,Árvore,1,0,1,1,0,0,1,0,0,0,0,0,"Ocorre, naturalmente, em diversos tipos de solos, evitando os muito úmidos ou hidromórficos.",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,não,diversidade,Perenifólia,maio -junho,setembro - setembro,setembro-outubro,-,-,-,Autocórica(explosiva)/zoocórica,Colher os frutos diretamente da árvore quando aparecer o arilo vermelho. Em seguida leve ao sol e ____ necessidade da retirada do arilo.,"19,5",51,Não aconselhável perdem a viabilidade sob refrigeração,2 meses,Não,Não,não apresenta,-,boa,0,1,1,30-40,4-5,-,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"CAMILA DE OLIVEIRA4, FABÍOLA VITTI MÔRO5","UBESSI-MACARINIet al., 2011","BRAGAet al., 2012","FELFILIet al., 2000","CARVALHO, 2006",DD
Alchornea sidifolia,Müll.Arg.,Canela-raposa; tapiá,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Alchornea columnularis Müll.Arg.; Alchornea pycnogyne Müll.Arg.,Euphorbiaceae,Árvore,1,0,0,0,1,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,DD
Alchornea triplinervia,(Spreng.) Müll.Arg.,Tanheiro,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231778/1/Especies-Arboreas-Brasileiras-vol-1-Tapia.pdf,Alchornea triplinervia var. crassifolia Müll.Arg.; Alchornea triplinervia var. laevigata Müll.Arg.; Alchornea triplinervia var. boliviana Pax & K.Hoffm.; Alchornea nemoralis var. parvifolia Baill.; Alchornea triplinervia var. genuina Müll.Arg.; Alchornea triplinervia var. parvifolia (Miq.) Müll.Arg.; Alchornea triplinervia var. nemoralis (Mart.) Pax & K.Hoffm.; Alchornea triplinervia var. tomentella Müll.Arg.; Alchornea triplinervia var. trinitatis L.Riley; Alchornea nemoralis var. psilorhachis Baill.; Alchornea nemoralis var. major Müll.Arg. ex Pax & K.Hoffm.; Alchornea nemoralis var. janeirensis (Casar.) Baill.; Alchornea triplinervia (Spreng.) Müll.Arg. var. triplinervia; Alchornea glandulosa var. parvifolia Benth.; Alchornea triplinervia var. janeirensis (Casar.) Müll.Arg.; Alchornea acroneura Pax & K.Hoffm.; Alchornea janeirensis Casar.; Alchornea rotundifolia Moric. ex Baill.; Alchornea obovata Pax & K.Hoffm.; Alchornea parvifolia Miq.; Alchornea brevistyla Pax & K.Hoffm.; Alchornea nemoralis Mart.; Antidesma triplinervium Spreng.; Alchornea triplinervia var. iricuranoides Chodat & Hassl.; Alchornea nemoralis var. intermedia Baill.; Alchornea intermedia Klotzsch ex Benth.; Alchornea triplinervia var. lanceolata (Baill.) Müll.Arg.; Alchornea psilorhachis Klotzsch ex Benth.; Alchornea nemoralis var. lanceolata Baill.; Alchornea nemoralis var. rotundifolia Baill.,Euphorbiaceae,Árvore,1,0,0,0,1,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,-,-,-,-,-,Novembro-Janeiro,"Aves: Periquito-rico (Brotogeris tirica), Tuim-de-asa-azul (Forpus xanthopterygius), Mataica-verde (Pionus maximiliani), Pica-pau-velho (Celeus flavescens), Maria-é-dia (Elaenia flavogaster), Bem-te-vi-de-coroa-vermelha (Myiozetetes similis), Bem-te-vi-verdadeiro (Pitangus sulphuratus), Bem-te-vi-peitica (Empidonomus varius), Bem-te-vi-rajado (Myiodynastes maculatus), Nei-nei (Megarynchus pitangua), Araponguinha-de-cara-preta (Tytira cayana), Cavaleiro-de-crista (Pachyramphus validus), Juruviara-oliva (Vireo olivaceus), Sabiá-laranjeira (Turdus rufiventris), Sabiá-de-cabeça-cinza (Turdus leucomelas), Sabiá-poca (Turdus amaurochalinus), Sabiá-coleira (Turdus albicollis), Cambacica (Coereba flaveola), Saíra-canário (Thlypopsis sordida), Gurundi (Tachyphonus coronatus), Tié-de-topete (Trichothraupis melanops), Sanhaço-cinza (Thraupis sayaca), Sanhaço-do-coqueiro (Thraupis palmarum), Saíra-cabocla (Tangara cayana), Saíra-da-serra (Tangara desmaresti), Trinca-ferro-de-asa-verde (Saltator similis), Vivi (Euphonia chlorotica), Ferro-velho (Euphonia pectoralis), Tico-tico-verdadeiro (Zonothichia capensis)",Frutos,Dispersão,zoocórica,"Coletar os frutos de coloração verde e ainda fechados direto da árvore, com podão, quando outros frutos da árvore já tiveram começado a se abrir, expondo sementes com arilo vermelho.",19000,"52,63",Apresentam comportamento ortodoxo ao armazenamento,< 1 ano,sim,,sem dormência,não é necessário,Ótima,0,1,0,30,4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NOGUEIRA;BRANCALION,2016)",,,,,DD
Allophylus edulis,(A.St.-Hil. et al.) Hieron. ex Niederl.,Fruta-de-faraó; Vacum; Chau-chau; Baga-de-morcego; Olho-de-pombo; Quebra-queixo; Murta-vermelha; Fruta-de-pavó,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232397/1/Especies-Arboreas-Brasileiras-vol-2-Vacum.pdf,,Sapindaceae,Árvore,1,0,1,1,0,0,0,0,0,0,0,0,"Prefere solos bastante úmidos de planícies aluviais e inícios de encostas, em solo rochoso e à beira de rios.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,não,diversidade,Caducifólia,Jul - Set (SP); Jul - Dez (PR); Jul - Nov (SC); Set - Nov (RS).,outubro - novembro,"Out - Nov(SC), Out - Dez (SP); Dez (GO); Nov - Fev (RS); Nov - Mar (PR)",-,-,-,autocórica e zoocórica,Os frutos devem ser colhidos quando adquirirem coloração avermelhada. Em seguida devem ser macerados e despolpados em água corrente.,"18,436",54,"não devem ser armazenadas, pois são recalcitrante.",no máximo 15 dias.,Não,Não,-,-,regular,1,0,0,30-40,6-8,lento,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"LIEBSCH & SANDRA, 2009",BRUNING et al. 2011.,"BRAGAet al., 2012","CARVALHO, 2006","SANQUETTAet al., 2010",DD
Aloysia virgata,(Ruiz & Pav.) Juss.,Lixeira; Lixeirinha; Cambará,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Lippia arborea Rojas Acosta,Verbenaceae,Arbusto,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,-,,Caducifólia,agosto - novembro,outubro,outubro - novembro,-,-,-,,"Colher as infrutescências inteiras logo após a secagem das flores, quando os frutos caem facilmente a um leve toque. Em seguida bater o material colhido em lona plástica e separar os pedúnculos.",6.670.000,"0,149",,6 meses,,,-,-,ótima,1,0,0,-,5,-,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,"FUNDAÇÃO FLORESTAL, 2008","ZUCHIWSCHIet al., 2010","BRAGAet al., 2012",,,DD
Alseis floribunda,Schott,"Falsa-pelada, goiabeira-branca, armação-da-serra",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231874/1/Especies-Arboreas-Brasileiras-vol-4-Falsa-Pelada.pdf,Alseis floribunda var. selloana K.Schum.; Alseis floribunda var. tomentosa K.Schum.; Alseis floribunda var. burchelliana K.Schum.,Rubiaceae,Árvore,1,0,1,0,0,0,1,0,0,0,0,0,Ocorre em solos úmidos como várzeas ou planícies e encostas com solos com solos úmidos pouco íngremes.,0,0,0,1,-,-,1,0,0,0,-,-,-,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,-,-,perenifólia,"jun-ago (BA), jul-fev (SC)","mar (SP), mar-set (PR)",-,,,dispersão,anemocórica e zoocórica,"Os frutos podem ser colhidos diretamente da árvore, quando apresentarem cor palha. Após, devem ser colocados para secar no sol, para liberação das sementes.",3 milhões,-,recalcitrante,-,1,1,-,não é necessário,regular,1,0,0,20 m,5 meses,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 4. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2010, 213p.",Rubiaceae in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB13825>. Acesso em: 16 jun. 2022,,,,NE
Amburana cearensis,(Allemão) A.C.Sm.,"Cumaru, angelim, umburana-vermelha",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231699/1/Especies-Arboreas-Brasileiras-vol-1-Cumaru.pdf,Torresea cearensis Allemão; Amburana claudii Schwacke & Taub.,Fabaceae,Árvore,0,0,0,1,1,0,0,0,0,0,0,0,"Ocorre naturalmente em solos argilo-arenosos e profundo nas meia-encostas da Caatinga. Em plantios na Região Sul, desenvolve-se bem em solos de boa fertilidade química, bem drenados e textura argilosa.",-,-,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,-,-,caducifólia,abr-jun,ago-set,-,-,-,dispersão,anemocórica,"Os frutos podem ser colhidos diretamente da árvore ou do chão, após a queda. As sementes podem ser extraídas em ambiente ventilado, quando os frutos iniciarem a deiscência.",450-2200,-,ortodoxo,12 meses,1,1,dormência fisiológica,Desponte manual do tegumento por abrasão em lixa,ótimo,0,1,0,4-10 m,3 meses,lento,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,"CARVALHO, P.E.R. Espécies Arbóreas Brasileiras. Coleção Espécies Arbóreas Brasileiras, vol. 1.  Brasília: Embrapa Informações Tecnológica; Colombo, PR: Embrapa Florestas, 2003. 439p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol. 1 – 5. ed. Nova Odessa, SP. 191p.","Seleme, E.P. Amburana in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB22781>. Acesso em: 16 jun. 2022",,,NT
Anacardium occidentale,L.,Caju,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Anacardium amilcarianum Machado; Anacardium kuhlmannianum Machado; Anacardium microcarpum Ducke; Anacardium othonianum Rizzini; Anacardium rondonianum Machado; Anacardium curatellaefolium A. St.-Hil,Anacardiaceae,Árvore,0,0,0,0,0,0,1,0,0,0,0,0,"Solos profundos com textura média a argilosa, bem drenados e com boa fertilidade natural. Predominam Cambissolos Eutróficos e Argissolos Vermelho - Amarelo Eutrófico.  Latossolos Vermelho-Amarelos Distróficos e Argissolos Vermelho-Amarelos.",0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,-,recobrimento,Caducifólia,Junho - Novembro,setembro - Janeiro,setembro -janeiro,-,-,-,,Separar a castanha do fruto e semeá-la,240,"4.166,66",,,Sim,-,-,"Deixar as sementes em repouso na água durante 48h, porém trocando-se a água a cada 8h",ótima,"1,00",0,0,30,-,-,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,LC
Anadenanthera colubrina,(Griseb.) Altschul,Angico-vermelho; Angico-branco,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231653/1/Especies-Arboreas-Brasileiras-vol-1-Angico-Branco.pdf,Acacia cebil Griseb.; Anadenanthera macrocarpa (Benth.) Brenan; Piptadenia macrocarpa Benth.; Acacia colubrina (Vell.) Mart.,Fabaceae,Árvore,0,0,0,1,0,0,0,0,0,0,0,0,"Ocorre naturalmente em solos de boa disponibilidade hídrica, férteis e profundos, com textura areno-argilosa a argilosa e bem drenados.",0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,não,diversidade,Caducifólia,novembro - janeiro,janeiro - abril,julho - agosto,-,-,-,anemocórica,Levar os frutos para secarem ao sol para completar a abertura e liberação das sementes.,"15,6","64,10",,4 meses,Sim,Sim,-,-,ótima,0,1,1,30-40,4 -5,rápido,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Nave, et al 1997","Ferreti et al, 1995","Pinto, 1997","JESUSet al., 2009","CARVALHO, 2003",DD
Anadenanthera colubrina var. cebil,(Griseb.) Altschul,Angico-vermelho; angico-brabo; angico-preto; angico-rajado; angico-rosa; angico-de-curtume,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231657/1/Especies-Arboreas-Brasileiras-vol-1-Angico-Vermelho.pdf,Acacia cebil Griseb.; Acacia colubrina (Vell.) Mart.; Anadenanthera macrocarpa (Benth.) Brenan; Piptadenia macrocarpa Benth.,Fabaceae,Arbusto/Árvore,1,0,0,1,1,0,0,0,0,1,0,0,"Ocorre, indiferentemente, em solos secos e úmidos, porém profundos. Tolera solos rasos, compactados, mal drenados e até encharcados, de textura média a argilosa. Sobrevive em solo sujeito a estresse hídrico. Em plantios, tem crescido melhor em solo de boa fertilidade química.",0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,não,diversidade,semicaducifólia,Jul-Nov (MS); Ago(BA); Ago-Set(DF); Set-Out(MG/RJ/PR); Set-Nov(SP),Mar-Mai (PR); Abr-Out(SP); Jul-Ago(DF); Ago (MG); Ago-Set(ES),-,-,-,-,Autocórica(barocórica),"A colheita dos frutos faz-se diretamente da árvore, assim que tem início a abertura natural. As sementes devem ser recolhidas rapidamente e secas à sombra, para que não percam o poder germinativo.",7250,"137,93","Quando armazenadas em embalagem de polietileno em câmara fria aos 12 meses, apresentaram germinação de 88%.",-,-,sim,sem dormência,não é necessário,ótima,0,1,0,-,4,moderado a rápido,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,"(CARVALHO, 2003)",http://reflora.jbrj.gov.br/,,,,DD
Anadenanthera peregrina,(Benth.) Altschul,Angico-branco; Angico-vermelho; Mamica-de-porca;Angico-do-cerrado,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231654/1/Especies-Arboreas-Brasileiras-vol-1-Angico-Cascudo.pdf,Anadenanthera falcata (Benth.) Speg.; Piptadenia falcata Benth.,Fabaceae,Árvore,0,0,0,0,1,0,0,0,0,0,0,0,"Prefere solos de baixa fertilidade química, pobres em cálcio, de textura arenosa a franca, suportando encharcamento. Em plantios, tem crescido melhor em solo de fertilidade química boa, profundo, bem drenado e com textura argilosa.",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,não,-,Perenifólia,setembro - fevereiro,junho  - agosto,agosto - novembro,-,-,-,autocórica,"Colocar em ambiente ventilado, para deiscência",15601 - 23 mil,"43,47",Se armazenadas em locais frios ou se forem liofilizadas pode ser armazenadas em temperatura ambiente.,12 -24 meses,Sim,sim,-,-,boa,0,0,0,30-40,6,rápido,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"CARVALHO, 2003",,,Paulo Ernani vol 1,"CYSNEIROS, 2015",DD
Anadenanthera peregrina var. falcata,(Benth.) Altschul,Angico-cascudo,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231654/1/Especies-Arboreas-Brasileiras-vol-1-Angico-Cascudo.pdf,Piptadenia falcata Benth.; Anadenanthera falcata (Benth.) Speg.,Fabaceae,Arbusto/Árvore,1,0,0,1,0,0,0,0,0,0,0,0,"Ocorre, naturalmente, em solos de baixa fertilidade química, pobres em cálcio, de textura arenosa e franca, suportando encharcamento. Em plantios, desenvolve melhor em solo de fertilidade boa, profundo, bem drenado e com textura argilosa.",0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,não,diversidade,Perenifólia,Set-Nov (SP); Dez,Ago-Nov (PR/SP),-,-,-,-,Autocórica(barocórica),"Os frutos devem ser coletados quando começar a disseminação das sementes, e postos em ambiente ventilado para completar a deiscência.",15150,"66,01","Quando armazenadas a frio, podem conservar o poder germinativo por cerca de 1 ano. Se liofilizadas, podem ser armazenadas à temperatura ambiente por até 2 anos.",-,-,-,sem dormência,não é necessário,Boa,0,1,0,-,6,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,"(CARVALHO, 2003)",http://reflora.jbrj.gov.br/,,,,DD
Andira anthelmia,(Vell.) Benth.,Angelim-Lombriga; Garacuí; Angelim; Angelim-amargoso; Pau-de-morcego,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232201/1/Especies-Arboreas-Brasileiras-vol-3-Angelim-lombriga.pdf,Lumbricidia anthelmia Vell.; Andira stipulacea Benth.; Andira anthelminthica (Vell.) Benth.,Fabaceae,Arvoreta/Árvore,0,0,0,0,0,0,1,0,0,0,0,1,"Ocorre naturalmente, em diversos tipos de solos, principalmente em solos úmidos.",0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,sim,-,semicaducifólia,outubro - novembro,novembro - fevereiro,fevereiromarço,-,-,-,morcegos,Os frutos quando obtidos podem ser diretamente utilizados para a semeadura. ____ necessidade da retirada do pericarpo.,60,"16666,66",recalcitrante,-,-,-,-,-,ótima,1,0,0,-,8 - 9,-,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,,,,,,DD
Andira fraxinifolia,Benth.,Argilim; Angelim-Doce; Angelim; Pau-angelim; Pau-de-morcego,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232666/1/Especies-Arboreas-Brasileiras-vol-4-Angelim-Doce.pdf,Andira pisonis var. emarginata N.F.Mattos; Andira pisonis var. puberula N.F.Mattos; Andira handroana N.F.Mattos; Andira pisonis Mart.; Andira pernambucensis N.F.Mattos; Andira parvifolia Mart. ex Benth.,Fabaceae,Árvore,0,0,0,0,0,0,1,0,0,0,0,1,"Ocorre, naturalmente, nos solos úmidos das planícies e encostas suaves ou depressões.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,sim,diversidade,Perenifólia,novembro - dezembro,jan - Mar (MG); Mai - Jul (PR); Jun - Jul (SP),fevereiro - abril,-,-,-,zoocórica,Os frutos quando obtidos podem ser diretamente utilizados para a semeadura. ____ necessidade da retirada do pericarpo.,70,"14285,71","Por sua semente apresentar comportamento recalcitrante, não deve ser armazenada.",-,Não,Não,-,-,ótima,1,0,0,30-40,8 - 9,Lento,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,Monografia joaquim,Paulo Ernani,"CARVALHO, 2010","LORENZI, 2002","UBESSI-MACARINIet al., 2011",DD
Annona cacans,Warm.,Anona-cagona; Coração-de-boi; Quaresma; Araticum-de-paca; Araticum-cagão; Cortição,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231663/1/Especies-Arboreas-Brasileiras-vol-1-Ariticum-Cagao.pdf,,Annonaceae,Árvore,1,0,0,1,0,0,0,0,0,0,0,0,"A espécie ocorre, naturalmente, em vários tipos de solos. Em plantios, tem crescido melhor em solo com fertilidade química elevada, profundo, com textura argilosa e bem drenado.",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,não,diversidade,Caducifólia,setembro - novembro,novembro - janeiro,janeiro - março,-,-,-,autocórica e zoocórica,"Coletar os frutos diretamente na árvore quando maduros, deixá-los alguns dias amontoados para iniciar o apodrecimento da polpa e facilitar a remoção das sementes através, do esfregaço manual em água corrente dentro de uma peneira.","5,37","186,22",-,Inferior a seis meses,Não,Não,-,escarificação mecânica,regular,0,1,1,30-40,6,rápido,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,CYSNEIROSet al.2015,"SANQUETTAet al., 2010","KINUPP, 2007","ZUCHIWSCHIet al., 2010","Carvalho, 2003",LC
Annona dolabripetala (Annona neosericea),Raddi,Araticum; Araticum-pecanina; Cortiça,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Rollinia laurifolia var. longipes R.E.Fr.; Rollinia sericea var. longisepala R.E.Fr.; Rollinia dolabripetala var. sericea R.E.Fr.; Rollinia laurifolia var. reflexa R.E.Fr.; Rollinia laurifolia var. divergens R.E.Fr.; Rollinia laurifolia var. erecta R.E.Fr.; Annona neolaurifolia H.Rainer; Annona neosericea H.Rainer; Rollinia dolabripetala (Raddi) R.E.Fr.; Rollinia sericea (R.E.Fr.) R.E.Fr.; Rollinia ubatubensis Maas & Westra; Rollinia laurifolia Schltdl.; Rollinia longifolia A.St.-Hil.; Annona minensis Glaz.; Rollinia minensis (Glaz.) R.E.Fr.; Annona ubatubensis (Maas & Westra) H.Rainer,Annonaceae,Árvore,1,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-,-,Caducifólia,outubro - dezembro,dezembro  - fevereiro,fevereiro - abril,-,-,-,zoocórica,Os frutos podem ser colhidos diretamente da árvore ou do chão. Remolva a polpa através da lavagem em água corrente  após o apodrecimento parcial dos frutos.,"1,6",625,-,-,,-,tegumentar,Escarificação mecânica,boa,0,1,1,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"PINTOet al., 2006",,,,,EN
Annona emarginata,(Schltdl.) H.Rainer,Araticunzinho-da-beira-do-rio; Quaresma; Araticum;Araticum-da-praia,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Rollinia emarginata Schltdl.; Annona neosalicifolia H.Rainer; Annona maritima (Záchia) H.Rainer; Annona rugulosa (Schltdl.) H.Rainer; Rollinia maritima Záchia,Annonaceae,Árvore,1,0,0,0,0,0,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,-,-,Caducifólia,setembro - fevereiro,janeiro,janeiro - abril,-,-,-,-,Coletar os frutos diretamente na árvore quando maduros e lavados em água corrente para retirada do arilo trasparente.,"2,2","454,54",-,-,-,-,tegumentar,Escarificação,ótima,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,EN
